elementName;mdiv.ID;measure;staff
sb;mdiv_458004-B1;13;1
sb;mdiv_458004-B1;27;1
sb;mdiv_458004-B1;38;1
sb;mdiv_458004-B1;48;1
sb;mdiv_458004-B1;60;1
sb;mdiv_458004-B1;70;1
sb;mdiv_458004-B1;79;1
sb;mdiv_458004-B1;93;1
sb;mdiv_458004-B1;100;1
sb;mdiv_458004-B1;109;1
sb;mdiv_458004-B1;120;1
sb;mdiv_458004-B1;129;1
sb;mdiv_458004-B1;134;1
sb;mdiv_458004-B1;145;1
sb;mdiv_458004-B1;153;1
sb;mdiv_458004-B1;161;1
sb;mdiv_458004-B1;185;1
sb;mdiv_458004-B1;195;1
sb;mdiv_458004-B1;204;1
sb;mdiv_458004-B1;213;1
sb;mdiv_458004-B1;223;1
sb;mdiv_458004-B1;232;1
sb;mdiv_458004-B1;239;1
sb;mdiv_458004-B1;255;1
sb;mdiv_458004-B1;262;1
sb;mdiv_458004-B1;271;1
sb;mdiv_458004-B1;278;1
sb;mdiv_458004-B1;284;1
sb;mdiv_458004-B1;291;1
sb;mdiv_458004-B1;299;1
sb;mdiv_458004-B1;308;1
sb;mdiv_458004-B1;318;1
sb;mdiv_458004-B1;326;1
sb;mdiv_458004-B1;334;1
sb;mdiv_458004-B1;16;2
sb;mdiv_458004-B1;29;2
sb;mdiv_458004-B1;42;2
sb;mdiv_458004-B1;55;2
sb;mdiv_458004-B1;66;2
sb;mdiv_458004-B1;76;2
sb;mdiv_458004-B1;86;2
sb;mdiv_458004-B1;97;2
sb;mdiv_458004-B1;107;2
sb;mdiv_458004-B1;127;2
sb;mdiv_458004-B1;145;2
sb;mdiv_458004-B1;176;2
sb;mdiv_458004-B1;185;2
sb;mdiv_458004-B1;194;2
sb;mdiv_458004-B1;209;2
sb;mdiv_458004-B1;221;2
sb;mdiv_458004-B1;234;2
sb;mdiv_458004-B1;248;2
sb;mdiv_458004-B1;259;2
sb;mdiv_458004-B1;286;2
sb;mdiv_458004-B1;302;2
sb;mdiv_458004-B1;318;2
sb;mdiv_458004-B1;21;3
sb;mdiv_458004-B1;36;3
sb;mdiv_458004-B1;55;3
sb;mdiv_458004-B1;70;3
sb;mdiv_458004-B1;84;3
sb;mdiv_458004-B1;101;3
sb;mdiv_458004-B1;115;3
sb;mdiv_458004-B1;128;3
sb;mdiv_458004-B1;142;3
sb;mdiv_458004-B1;157;3
sb;mdiv_458004-B1;169;3
sb;mdiv_458004-B1;190;3
sb;mdiv_458004-B1;210;3
sb;mdiv_458004-B1;226;3
sb;mdiv_458004-B1;245;3
sb;mdiv_458004-B1;262;3
sb;mdiv_458004-B1;279;3
sb;mdiv_458004-B1;299;3
sb;mdiv_458004-B1;318;3
sb;mdiv_458004-B1;24;4
sb;mdiv_458004-B1;48;4
sb;mdiv_458004-B1;66;4
sb;mdiv_458004-B1;99;4
sb;mdiv_458004-B1;113;4
sb;mdiv_458004-B1;125;4
sb;mdiv_458004-B1;140;4
sb;mdiv_458004-B1;159;4
sb;mdiv_458004-B1;173;4
sb;mdiv_458004-B1;185;4
sb;mdiv_458004-B1;213;4
sb;mdiv_458004-B1;227;4
sb;mdiv_458004-B1;244;4
sb;mdiv_458004-B1;264;4
sb;mdiv_458004-B1;284;4
sb;mdiv_458004-B1;308;4
